epoch	loss	prec1	prec5	lr
1	3.1100873947143555	11.685869216918945	36.49736022949219	0.1
2	2.6632742881774902	22.635414123535156	55.21921157836914	0.1
3	2.4248318672180176	29.523794174194336	62.09577941894531	0.1
4	2.2915515899658203	33.19697570800781	65.37676239013672	0.1
5	2.224764585494995	35.021339416503906	66.8080825805664	0.1
6	2.1879489421844482	36.16757583618164	67.7755126953125	0.1
7	2.1686487197875977	36.72171401977539	67.97624969482422	0.1
8	2.1561968326568604	37.1164436340332	68.43086242675781	0.1
9	2.1465835571289062	37.39309310913086	68.57677459716797	0.1
10	2.1336913108825684	37.858673095703125	68.8298110961914	0.1
11	2.1331987380981445	37.88313293457031	68.88632202148438	0.1
12	2.1263999938964844	37.87385559082031	69.06344604492188	0.1
13	2.129193067550659	37.851924896240234	69.01367950439453	0.1
14	2.1360347270965576	37.7481803894043	68.74124908447266	0.1
15	2.126887083053589	38.01470947265625	68.90572357177734	0.1
16	2.1310813426971436	37.900001525878906	68.97909545898438	0.1
17	2.124354600906372	37.98350143432617	68.98331451416016	0.1
18	2.1471238136291504	37.66805648803711	68.4477310180664	0.1
19	2.132760763168335	37.71444320678711	68.8837890625	0.1
20	2.152872323989868	37.300315856933594	68.34483337402344	0.1
21	2.1517984867095947	37.39393615722656	68.51436614990234	0.1
22	2.170008897781372	36.92667007446289	68.00914001464844	0.1
23	2.1637182235717773	37.05318832397461	68.13565826416016	0.1
24	2.185938835144043	36.454345703125	67.52922821044922	0.1
25	2.1849567890167236	36.41638946533203	67.74514770507812	0.1
26	2.192596435546875	36.22408676147461	67.54356384277344	0.1
27	2.1919939517974854	36.34300994873047	67.6338119506836	0.1
28	2.1938676834106445	36.168418884277344	67.4212646484375	0.1
29	2.2069191932678223	36.00900650024414	67.24330139160156	0.1
30	1.925755262374878	43.786373138427734	72.87242126464844	0.010000000000000002
31	1.841497778892517	45.90425109863281	74.32904052734375	0.010000000000000002
32	1.824717402458191	46.5165901184082	74.67063903808594	0.010000000000000002
33	1.793574333190918	47.43593978881836	75.03668975830078	0.010000000000000002
34	1.7810293436050415	47.75728988647461	75.31924438476562	0.010000000000000002
35	1.7718144655227661	47.87958908081055	75.5638427734375	0.010000000000000002
36	1.7670663595199585	47.94622039794922	75.72409057617188	0.010000000000000002
37	1.7597547769546509	48.236366271972656	75.66927337646484	0.010000000000000002
38	1.750218391418457	48.63446807861328	75.8969955444336	0.010000000000000002
39	1.754421353340149	48.502891540527344	75.79747009277344	0.010000000000000002
40	1.7561537027359009	48.46746826171875	75.70722198486328	0.010000000000000002
41	1.7522342205047607	48.554344177246094	75.70975494384766	0.010000000000000002

