epoch	loss	prec1	prec5	lr
1	1.5616321563720703	53.14982223510742	88.01957702636719	0.1
2	1.3087489604949951	70.00738525390625	92.20394897460938	0.1
3	1.1114486455917358	73.434326171875	93.3493423461914	0.1
4	1.0234304666519165	76.39016723632812	93.9866943359375	0.1
5	0.9933415651321411	77.47090148925781	94.05135345458984	0.1
6	0.9798594117164612	75.59578704833984	93.73729705810547	0.1
7	0.9223058819770813	78.81950378417969	94.4300765991211	0.1
8	0.8643569946289062	79.38296508789062	94.64252471923828	0.1
9	0.8695381283760071	79.66007232666016	95.15055847167969	0.1
10	0.9391583800315857	79.31830596923828	94.57786560058594	0.1
11	0.8597062826156616	80.35285186767578	94.86421203613281	0.1
12	0.8544655442237854	80.50064086914062	95.09513854980469	0.1
