epoch	batch	iter	loss	prec1	prec5	lr
1	1	1	2.7197105884552	6.25	32.8125	0.1
1	2	2	2.707494020462036	6.25	37.5	0.1
1	3	3	2.6721720695495605	14.0625	43.75	0.1
1	4	4	2.7010765075683594	1.5625	34.375	0.1
1	5	5	2.7277607917785645	1.5625	28.125	0.1
1	6	6	2.688758611679077	6.25	32.8125	0.1
1	7	7	2.665288209915161	14.0625	37.5	0.1
1	8	8	2.673441171646118	9.375	37.5	0.1
1	9	9	2.697446823120117	3.125	34.375	0.1
1	10	10	2.6680171489715576	15.625	37.5	0.1
1	11	11	2.6840569972991943	7.8125	40.625	0.1
1	12	12	2.6917150020599365	6.25	34.375	0.1
1	13	13	2.6712756156921387	6.25	35.9375	0.1
1	14	14	2.6985280513763428	7.8125	34.375	0.1
1	15	15	2.573756217956543	26.5625	48.4375	0.1
1	16	16	2.650224208831787	12.5	40.625	0.1
1	17	17	2.5771424770355225	15.625	50.0	0.1
1	18	18	2.5634467601776123	17.1875	43.75	0.1
1	19	19	2.646656036376953	7.8125	35.9375	0.1
1	20	20	2.528501033782959	20.3125	46.875	0.1
1	21	21	2.4997901916503906	21.875	42.1875	0.1
1	22	22	2.5222294330596924	20.3125	48.4375	0.1
1	23	23	2.391059160232544	28.125	57.8125	0.1
1	24	24	2.4202730655670166	28.125	51.5625	0.1
1	25	25	2.394834041595459	29.6875	60.9375	0.1
1	26	26	2.4320859909057617	17.1875	46.875	0.1
1	27	27	2.378934860229492	25.0	53.125	0.1
1	28	28	2.331773042678833	23.4375	48.4375	0.1
1	29	29	2.391619920730591	23.4375	45.3125	0.1
1	30	30	2.456434726715088	15.625	34.375	0.1
1	31	31	2.1463441848754883	35.9375	56.25	0.1
1	32	32	2.297414541244507	29.6875	59.375	0.1
1	33	33	2.3525888919830322	23.4375	50.0	0.1
1	34	34	2.205552577972412	31.25	56.25	0.1
1	35	35	2.1927778720855713	31.25	45.3125	0.1
1	36	36	2.3784632682800293	21.875	42.1875	0.1
1	37	37	2.332024574279785	28.125	54.6875	0.1
1	38	38	2.556839942932129	20.3125	43.75	0.1
1	39	39	2.1949620246887207	29.6875	59.375	0.1
1	40	40	2.362898349761963	23.4375	42.1875	0.1
1	41	41	2.0847225189208984	32.8125	53.125	0.1
1	42	42	2.385361909866333	17.1875	50.0	0.1
1	43	43	2.138472080230713	32.8125	67.1875	0.1
1	44	44	2.3003883361816406	26.5625	48.4375	0.1
1	45	45	2.0555500984191895	34.375	68.75	0.1
1	46	46	2.228803873062134	21.875	51.5625	0.1
1	47	47	2.325190544128418	26.5625	51.5625	0.1
1	48	48	2.458205223083496	25.0	57.8125	0.1
1	49	49	2.111966609954834	35.9375	62.5	0.1
1	50	50	2.554128646850586	17.1875	51.5625	0.1
1	51	51	2.1273064613342285	31.25	68.75	0.1
1	52	52	2.0122756958007812	41.17647171020508	72.54901885986328	0.1
2	1	53	2.1337697505950928	31.25	70.3125	0.1
2	2	54	2.0345327854156494	34.375	70.3125	0.1
2	3	55	2.2175304889678955	26.5625	59.375	0.1
2	4	56	2.207303285598755	29.6875	53.125	0.1
2	5	57	2.042423725128174	43.75	65.625	0.1
2	6	58	2.466278553009033	20.3125	46.875	0.1
2	7	59	2.246274709701538	28.125	54.6875	0.1
2	8	60	2.173344373703003	28.125	62.5	0.1
2	9	61	2.2105491161346436	26.5625	68.75	0.1
2	10	62	2.0763542652130127	32.8125	64.0625	0.1
2	11	63	2.1867547035217285	31.25	62.5	0.1
2	12	64	2.0769894123077393	37.5	64.0625	0.1
2	13	65	2.1327712535858154	31.25	62.5	0.1
2	14	66	2.3697116374969482	26.5625	50.0	0.1
2	15	67	2.228092670440674	25.0	59.375	0.1
2	16	68	1.987932801246643	31.25	65.625	0.1
2	17	69	2.184570789337158	31.25	62.5	0.1
2	18	70	2.238659143447876	25.0	67.1875	0.1
2	19	71	2.2942442893981934	26.5625	64.0625	0.1
2	20	72	1.9337773323059082	42.1875	82.8125	0.1
2	21	73	2.209420680999756	26.5625	60.9375	0.1
2	22	74	2.1388533115386963	34.375	59.375	0.1
2	23	75	2.0112061500549316	39.0625	71.875	0.1
2	24	76	1.958950161933899	42.1875	71.875	0.1
2	25	77	1.9993702173233032	35.9375	71.875	0.1
2	26	78	1.962769627571106	35.9375	70.3125	0.1
2	27	79	2.0289676189422607	35.9375	70.3125	0.1
2	28	80	2.0151093006134033	37.5	64.0625	0.1
2	29	81	2.2635657787323	32.8125	62.5	0.1
2	30	82	2.2473843097686768	34.375	78.125	0.1
2	31	83	1.8603811264038086	46.875	76.5625	0.1
2	32	84	1.8688991069793701	42.1875	76.5625	0.1
2	33	85	1.955597162246704	37.5	75.0	0.1
2	34	86	1.9630491733551025	39.0625	75.0	0.1
2	35	87	2.0395941734313965	39.0625	64.0625	0.1
2	36	88	1.8243038654327393	40.625	78.125	0.1
2	37	89	1.7226836681365967	46.875	78.125	0.1
2	38	90	2.114804744720459	35.9375	62.5	0.1
2	39	91	2.0028560161590576	35.9375	65.625	0.1
2	40	92	2.0286591053009033	29.6875	60.9375	0.1
2	41	93	1.8542848825454712	45.3125	67.1875	0.1
2	42	94	1.8157684803009033	42.1875	75.0	0.1
2	43	95	1.8745403289794922	43.75	67.1875	0.1
2	44	96	1.7966302633285522	48.4375	70.3125	0.1
2	45	97	1.7303320169448853	51.5625	84.375	0.1
2	46	98	2.0115363597869873	37.5	60.9375	0.1
2	47	99	1.953025460243225	32.8125	67.1875	0.1
2	48	100	1.6993165016174316	45.3125	84.375	0.1
2	49	101	1.907119870185852	42.1875	64.0625	0.1
2	50	102	1.801274061203003	42.1875	73.4375	0.1
2	51	103	1.7336705923080444	50.0	78.125	0.1
2	52	104	1.902209758758545	41.17647171020508	70.5882339477539	0.1
3	1	105	1.9984052181243896	39.0625	70.3125	0.1
3	2	106	1.8369150161743164	43.75	65.625	0.1
3	3	107	1.9042589664459229	37.5	70.3125	0.1
3	4	108	1.8163883686065674	50.0	71.875	0.1
3	5	109	1.8240866661071777	39.0625	78.125	0.1
3	6	110	1.828026533126831	39.0625	76.5625	0.1
3	7	111	1.725633144378662	43.75	73.4375	0.1
3	8	112	1.8623378276824951	35.9375	71.875	0.1
3	9	113	1.7760525941848755	40.625	75.0	0.1
3	10	114	1.8357200622558594	43.75	71.875	0.1
3	11	115	1.8744179010391235	35.9375	75.0	0.1
3	12	116	1.7244354486465454	48.4375	76.5625	0.1
3	13	117	1.7667973041534424	43.75	67.1875	0.1
3	14	118	1.9248350858688354	43.75	76.5625	0.1
3	15	119	1.691024661064148	40.625	79.6875	0.1
3	16	120	1.8200664520263672	40.625	79.6875	0.1
3	17	121	1.767663598060608	45.3125	76.5625	0.1
3	18	122	1.9329224824905396	42.1875	67.1875	0.1
3	19	123	1.7327051162719727	39.0625	81.25	0.1
3	20	124	2.033620834350586	35.9375	64.0625	0.1
3	21	125	1.9308793544769287	39.0625	71.875	0.1
3	22	126	2.033332586288452	34.375	60.9375	0.1
3	23	127	1.6475247144699097	46.875	78.125	0.1
3	24	128	1.7518036365509033	45.3125	78.125	0.1
3	25	129	1.6734381914138794	46.875	79.6875	0.1
3	26	130	1.9003980159759521	39.0625	71.875	0.1
3	27	131	1.6601567268371582	48.4375	76.5625	0.1
3	28	132	1.6032249927520752	54.6875	82.8125	0.1
3	29	133	1.691583514213562	53.125	76.5625	0.1
3	30	134	1.5847828388214111	48.4375	82.8125	0.1
3	31	135	1.6925692558288574	53.125	81.25	0.1
3	32	136	1.8326693773269653	39.0625	73.4375	0.1
